country,total_deaths_per_million,total_cases,population,total_vaccination
Afghanistan,62.03358984,32672096,39835428,21296011
Africa,54.66659894,1664303064,1373486472,10033330895
Albania,413.2393996,36156968,2872934,128996781
Algeria,53.99533452,47294458,44616626,22210783
Andorra,1105.917047,4089183,77354,933237
Angola,12.94422569,9816842,33933611,34079415
Anguilla,,,15125,322400
Antigua and Barbuda,174.8359851,322108,98728,3250918
Argentina,933.5730177,1066719406,45605823,4139867346
Armenia,812.8903978,70026814,2968128,2830748
Aruba,,,107195,16338722
Asia,73.65957353,13918208822,4679660580,3.47E+11
Australia,25.88292147,14536114,25788217,1615419867
Austria,579.6450996,176844095,9043072,1292234366
Azerbaijan,231.331902,96214207,10223344,626192057
Bahamas,384.1956292,3926429,396914,2449327
Bahrain,289.0978154,65430754,1748295,356102096
Bangladesh,51.14871223,302292003,166303494,1925436680
Barbados,80.05836803,1021825,287708,26246706
Belarus,174.2247145,118280338,9442867,31794530
Belgium,1415.841561,312459987,11632334,1856165912
Belize,451.3257635,4135639,404915,10514548
Benin,4.881888268,2669907,12451031,958020
Bermuda,,,62092,2171913
Bhutan,1.854138462,469895,779900,51783003
Bolivia,781.1849872,115465091,11832936,297735615
Bonaire Sint Eustatius and Saba,,,26445,43236
Bosnia and Herzegovina,1295.831038,55962432,3263459,7349441
Botswana,196.3199448,18992100,2397240,9370349
Brazil,1147.585063,4949944937,213993441,15576138765
British Virgin Islands,,,30423,365565
Brunei,8.097423077,225888,441532,11646976
Bulgaria,1124.228718,108008467,6896655,272536651
Burkina Faso,4.698688849,3857902,21497097,823738
Burundi,0.531913208,1475861,12255429,
Cambodia,45.00121212,9297948,16946446,1629896405
Cameroon,23.74985974,21017221,27224262,6635410
Canada,410.5357186,366097690,38067913,6205814145
Cape Verde,235.3018982,7927463,561901,3921465
Cayman Islands,,,66498,6323415
Central African Republic,14.15680204,2809173,4919987,910631
Chad,7.115042718,1470495,16914985,842512
Chile,922.6992283,419853492,19212362,4127900751
China,2.983501634,51849351,1444216102,2.03E+11
Colombia,971.0841558,1048089677,51265841,2575918369
Comoros,81.73890533,1052016,888456,2380970
Congo,18.43554898,3820495,5657017,2754229
Cook Islands,,,17572,113935
Costa Rica,422.0934234,95696510,5139053,62277450
Cote d'Ivoire,6.797390826,15329270,27053629,121305386
Croatia,889.7120486,93851810,4081657,352534182
Cuba,73.17900899,59153094,11317498,1057294179
Curacao,,,164796,21212149
Cyprus,195.8081504,19015536,888005,74846898
Czechia,1278.505861,435298236,10724553,1379320816
Democratic Republic of Congo,5.501325497,11695842,92377986,1491872
Denmark,250.9546411,80250301,5813302,875007466
Djibouti,82.72624015,3766201,1002197,560532
Dominica,78.65197059,127375,72172,1187324
Dominican Republic,213.8756373,96539697,10953714,1176871976
Ecuador,775.6242339,131018472,17888474,1203657333
Egypt,80.63201237,83601869,104258327,202761916
El Salvador,210.1261252,24799911,6518500,330198894
Equatorial Guinea,58.96803071,3003858,1449891,11244715
Eritrea,4.862787004,1244971,3601462,
Estonia,393.0445173,29887267,1325188,163420369
Eswatini,336.9763966,6860341,1172369,2771286
Ethiopia,18.11520818,75599514,117876226,279031490
Europe,740.0635561,13367883723,747747396,90541824420
European Union,828.6164014,8848574727,447189915,63329157159
Faeroe Islands,,,49053,4397095
Falkland Islands,,,3528,14163
Fiji,76.25211164,2987823,902899,9778980
Finland,105.3857396,26061600,5548361,633391187
France,906.7240867,1595669919,67564251,9813461382
French Polynesia,,,282534,3479134
Gabon,36.31452347,7254763,2278829,1824377
Gambia,48.91467514,2167795,2486937,1691658
Georgia,635.8661725,103547383,3979773,54516617
Germany,509.4397664,976945940,83900471,12370795193
Ghana,14.29937251,33292375,31732128,15971788
Gibraltar,,,33691,7329966
Greece,500.8933162,103417928,10370747,1359568813
Greenland,,,56868,4039072
Grenada,35.89403774,109251,113015,888095
Guatemala,274.6368244,88994953,18249868,291144286
Guernsey,,,67052,6062786
Guinea,8.181348485,7955294,13497237,53529226
Guinea-Bissau,25.02377369,1525994,2015490,312273
Guyana,258.8791139,4732845,790329,17453328
Haiti,22.1273041,5805841,11541683,693703
Honduras,363.8466861,76119068,10062994,53937493
Hong Kong,15.53868447,4072310,7552800,736520081
Hungary,1270.299399,194496139,9634162,451747342
Iceland,61.18127486,2720452,343360,23823537
India,118.7295879,6931118878,1393409033,62502793661
Indonesia,120.3014192,632329295,276361788,8903238489
International,,422834,,
Iran,541.2368921,872378599,85028760,371891424
Iraq,253.4798807,375478049,41179351,43228483
Ireland,597.3553996,79302719,4982904,548364189
Isle of Man,,,85410,11250123
Israel,403.5004495,264466390,8789776,2592272751
Italy,1170.676966,1153833695,60367471,9108584272
Jamaica,154.7405946,12592229,2973462,13814334
Japan,45.45917797,216325441,126050796,7779342012
