Continent,Location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients_per_million,hosp_patients,new_tests,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,new_vaccinations_smoothed_per_million
Africa,Algeria,47294458,1353908,1060018.708,30345.378,1.03726776,12213,273.741,,,,,,,,,,,,,22210783,14311348,7899435,,30,49.78,32.08,17.7,67.41581882,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,207237
Africa,Angola,9816842,239388,289295.538,7054.603,1.064508547,,,,,,,,,,,,,,,34079415,22234748,11844667,,,100.44,65.51,34.9,64.72570909,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,79305
Africa,Benin,2669907,32641,214432.602,2621.574,0.783466135,,,,,,,,,,640586,51.448,,,,958020,690238,84740,,,7.69,5.56,0.68,41.48269725,12451031,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,13183
Africa,Botswana,18992100,255550,7922485.852,106601.73,1.128084633,,,,,,,,,,,,,,,9370349,6397648,2972701,,10435,390.9,266.88,124.02,60.61316667,2397240,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,251699
Africa,Burkina Faso,3857902,56161,179461.538,2612.471,0.982032967,,,,,,,,,,,,,,,823738,677202,283682,,,3.83,3.15,1.32,33.59186594,21497097,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,10725
Africa,Burundi,1475861,3453,120425.093,281.914,0.96012987,,,,,,,,,,,,,,,,,,,,,,,15.17396975,12255429,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
Africa,Cameroon,21017221,354969,772003.328,13038.673,0.683678373,,,,,,,,,,,,,,,6635410,5500577,1134851,,400,24.39,20.19,4.16,41.6897695,27224262,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,16775
Africa,Cape Verde,7927463,72719,14108291.32,129416.044,1.045536062,,,,,218248,,,,,,,388.411,0.147024845,1142.5,3921465,3153514,715652,,7462,697.9,561.25,127.35,65.66797075,561901,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,702908
Africa,Central African Republic,2809173,34129,570971.643,6936.833,0.535149701,,,,,,,,,,,,,,,910631,258509,9901,,12887,18.51,5.25,0.2,34.24553153,4919987,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397,,,,30097
Africa,Chad,1470495,61980,86934.453,3664.247,0.932682446,,,,,,,,,,,,,,,842512,526140,149803,,,4.98,3.11,0.89,50.66626838,16914985,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,6260
Africa,Comoros,1052016,36819,1184094.661,41441.625,0.813549061,,,,,,,,,,,,,,,2380970,1106784,582822,,,267.99,124.59,65.61,,888456,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,368228
Africa,Congo,3820495,56421,675355.041,9973.632,0.553053435,,,,,,,,,,,,,,,2754229,1885383,705104,,1486,48.66,33.32,12.47,55.90929603,5657017,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,55440
Africa,Cote d'Ivoire,15329270,100222,566625.285,3704.578,1.075432781,,,,,915667,,,,,182761412,6755.518,33.842,0.066718391,14058.9,121305386,69123942,273400,,1574622,448.37,255.5,1.01,35.1444405,27053629,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,67042
Africa,Democratic Republic of Congo,11695842,281035,126608.562,3042.233,1.069758364,,,,,292754,,,,,,,3.167,0.186372032,2505.4,1491872,1109864,164956,,,1.62,1.21,0.18,46.78347122,92377986,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,1414
Africa,Djibouti,3766201,44190,3757944.797,44093.086,1.034689266,,,,,,,,,,,,,,,560532,368318,196946,,,55.92,36.75,19.64,52.12577731,1002197,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,57072
Africa,Egypt,83601869,4758112,801872.349,45637.719,1.052895683,,,,,,,,,,,,,,,202761916,136852678,54421253,,1349538,194.46,131.26,52.19,56.47645051,104258327,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,82275.3375,15.3475,27.218125,128402
Africa,Equatorial Guinea,3003858,44544,2071781.936,30722.344,0.722873786,,,,,9858,,,,,4536590,3128.921,6.799,0.046298507,5476.1,11244715,6533340,4441393,,,775.55,450.61,306.35,,1449891,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,,,,256286
Africa,Eritrea,1244971,4851,345684.899,1346.992,0.827019438,,,,,,,,,,,,,,,,,,,,,,,79.63948998,3601462,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,,,,
Africa,Eswatini,6860341,208197,5851690.891,177586.561,0.980962672,,,,,,,,,,,,,,,2771286,1974024,1920762,,103261,236.39,168.37,163.84,66.20443243,1172369,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,,,,206411
Africa,Ethiopia,75599514,1148822,641346.566,9745.982,1.061132438,,,,,3397064,,,,,898934432,7626.079,28.823,0.086853526,19863.6,279031490,224394061,7102860,,2279873,236.69,190.35,6.03,57.27447038,117876226,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,24592
Africa,Gabon,7254763,45846,3183548.659,20118.246,1.152337165,,,,,76529,,,,,27050177,11870.208,33.582,0.037060606,13870.9,1824377,1120584,703793,,1486,80.07,49.16,30.91,71.19234234,2278829,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,76537
Africa,Gambia,2167795,67028,871672.645,26951.986,0.923808411,,,,,,,,,,2547672,1024.423,,0.117042553,664.5,1691658,1514983,1156723,,429,68.01,60.89,46.51,53.41134301,2486937,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,80859
Africa,Ghana,33292375,250924,1049169.322,7907.553,1.148419118,,,,,1036171,,,,,268455863,8460.062,32.653,0.071140816,14297.9,15971788,13253558,2718230,,120680,50.37,41.81,8.57,47.07649186,31732128,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,53354
Africa,Guinea,7955294,58305,589401.669,4319.752,1.075009346,,,,,,,,,,,,,,,53529226,36806385,17372293,,694381,396.6,272.69,128.77,60.5448474,13497237,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,,,,103251
Africa,Guinea-Bissau,1525994,26075,757133.018,12937.291,0.743960784,,,,,,,,,,,,,,,312273,290386,21887,,,15.49,14.4,1.09,,2015490,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,41420
Africa,Kenya,52040613,961241,946439.002,17481.663,1.059255121,,,,,573729,,,,,83878008,1525.45,10.433,0.070570652,8229.1,215414166,158329926,56189467,,2176046,391.81,287.95,102.16,66.15281867,54985702,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,62357
Africa,Lesotho,3218580,87269,1490727.248,40419.756,0.862687927,,,,,,,,,,,,,,,857193,446681,290715,,,39.71,20.7,13.47,57.82832661,2159067,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,,,,146840
Africa,Liberia,1130315,49454,218198.762,9546.72,0.759381044,,,,,,,,,,,,,,,1153672,1011761,50583,,1847,22.28,19.55,0.97,56.26966667,5180208,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,,,,15319
Africa,Libya,58821286,902252,8453109.835,129661.153,1.085717256,,,,,1332663,,,,,,,191.506,0.089560241,13417.4,17708488,15647481,803469,,81613,254.5,224.86,11.55,78.63587571,6958538,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,,,,211282
Africa,Madagascar,11592729,210634,407802.204,7409.542,0.805549242,,,,,125476,,,,,35708565,1256.139,4.417,0.138534979,9882.5,1803569,1335846,184632,,13544,6.34,4.69,0.65,56.83498182,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,12703
Africa,Malawi,10936851,360909,556648.438,18369.054,1.067190083,,,,,76496,,,,,15256898,776.516,3.891,0.09656927,13439.1,58622433,49453388,15986851,,549803,298.39,251.73,81.37,50.99986891,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,50783
Africa,Mali,3998378,151994,191716.1,7287.889,1.037760911,,,,,,,,,,,,,,,4289762,3222610,1067152,,,20.56,15.46,5.08,47.76987132,20855724,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434,,,,18830
